transaction_id,date,product_name,product_category,units_sold,unit_price,total_revenue,region,payment_method
10001,2024-01-01,iPhone 14 Pro,Electronics,2,999.99,1999.98,North America,Credit Card
10002,2024-01-02,Dyson V11 Vacuum,Home Appliances,1,499.99,499.99,Europe,PayPal
10003,2024-01-03,Levi's 501 Jeans,Clothing,3,69.99,209.97,Asia,Debit Card
10004,2024-01-04,The Da Vinci Code,Books,4,15.99,63.96,North America,Credit Card
10005,2024-01-05,Neutrogena Skincare Set,Beauty Products,1,89.99,89.99,Europe,PayPal
10006,2024-01-06,Wilson Evolution Basketball,Sports,5,29.99,149.95,Asia,Credit Card
10007,2024-01-07,MacBook Pro 16-inch,Electronics,1,2499.99,2499.99,North America,Credit Card
10008,2024-01-08,Blueair Classic 480i,Home Appliances,2,599.99,1199.98,Europe,PayPal
10009,2024-01-09,Nike Air Force 1,Clothing,6,89.99,539.94,Asia,Debit Card
10010,2024-01-10,Dune by Frank Herbert,Books,2,25.99,51.98,North America,Credit Card
10011,2024-01-11,Chanel No. 5 Perfume,Beauty Products,1,129.99,129.99,Europe,PayPal
10012,2024-01-12,Babolat Pure Drive Tennis Racket,Sports,3,199.99,599.97,Asia,Credit Card
10013,2024-01-13,Samsung Galaxy Tab S8,Electronics,2,749.99,1499.98,North America,Credit Card
10014,2024-01-14,Keurig K-Elite Coffee Maker,Home Appliances,1,189.99,189.99,Europe,PayPal
10015,2024-01-15,North Face Down Jacket,Clothing,2,249.99,499.98,Asia,Debit Card
10016,2024-01-16,"Salt, Fat, Acid, Heat by Samin Nosrat",Books,3,35.99,107.97,North America,Credit Card
10017,2024-01-17,Dyson Supersonic Hair Dryer,Beauty Products,1,399.99,399.99,Europe,PayPal
10018,2024-01-18,Manduka PRO Yoga Mat,Sports,4,119.99,479.96,Asia,Credit Card
10019,2024-01-19,Garmin Forerunner 945,Electronics,2,499.99,999.98,North America,Credit Card
10020,2024-01-20,Ninja Professional Blender,Home Appliances,1,99.99,99.99,Europe,PayPal
10021,2024-01-21,Zara Summer Dress,Clothing,3,59.99,179.97,Asia,Debit Card
10022,2024-01-22,Gone Girl by Gillian Flynn,Books,2,22.99,45.98,North America,Credit Card
10023,2024-01-23,Olay Regenerist Face Cream,Beauty Products,1,49.99,49.99,Europe,PayPal
10024,2024-01-24,Adidas FIFA World Cup Football,Sports,3,29.99,89.97,Asia,Credit Card
10025,2024-01-25,Bose QuietComfort 35 Headphones,Electronics,1,299.99,299.99,North America,Credit Card
10026,2024-01-26,Panasonic NN-SN966S Microwave,Home Appliances,1,179.99,179.99,Europe,PayPal
10027,2024-01-27,Adidas Ultraboost Shoes,Clothing,2,179.99,359.98,Asia,Debit Card
10028,2024-01-28,Pride and Prejudice by Jane Austen,Books,3,12.99,38.97,North America,Credit Card
10029,2024-01-29,MAC Ruby Woo Lipstick,Beauty Products,1,29.99,29.99,Europe,PayPal
10030,2024-01-30,Nike Air Zoom Pegasus 37,Sports,2,129.99,259.98,Asia,Credit Card
10031,2024-01-31,Sony WH-1000XM4 Headphones,Electronics,2,349.99,699.98,North America,Credit Card
10032,2024-02-01,Instant Pot Duo,Home Appliances,3,89.99,269.97,Europe,PayPal
10033,2024-02-02,Under Armour HeatGear T-Shirt,Clothing,5,29.99,149.95,Asia,Debit Card
10034,2024-02-03,1984 by George Orwell,Books,4,19.99,79.96,North America,Credit Card
10035,2024-02-04,L'Oreal Revitalift Serum,Beauty Products,2,39.99,79.98,Europe,PayPal
10036,2024-02-05,Peloton Bike,Sports,1,1895,1895,Asia,Credit Card
10037,2024-02-06,Apple Watch Series 8,Electronics,3,399.99,1199.97,North America,Credit Card
10038,2024-02-07,Roomba i7+,Home Appliances,2,799.99,1599.98,Europe,PayPal
10039,2024-02-08,Columbia Fleece Jacket,Clothing,4,59.99,239.96,Asia,Debit Card
10040,2024-02-09,Harry Potter and the Sorcerer's Stone,Books,3,24.99,74.97,North America,Credit Card
10041,2024-02-10,Estee Lauder Advanced Night Repair,Beauty Products,1,105,105,Europe,PayPal
10042,2024-02-11,Fitbit Charge 5,Sports,2,129.99,259.98,Asia,Credit Card
10043,2024-02-12,GoPro HERO10 Black,Electronics,3,399.99,1199.97,North America,Credit Card
10044,2024-02-13,Nespresso VertuoPlus,Home Appliances,1,199.99,199.99,Europe,PayPal
10045,2024-02-14,Patagonia Better Sweater,Clothing,2,139.99,279.98,Asia,Debit Card
10046,2024-02-15,Becoming by Michelle Obama,Books,4,32.5,130,North America,Credit Card
10047,2024-02-16,Clinique Moisture Surge,Beauty Products,1,52,52,Europe,PayPal
10048,2024-02-17,Yeti Rambler Tumbler,Sports,6,39.99,239.94,Asia,Credit Card
